epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,43.1568,0.77651,1,1,0.187,0.000463459,0.000463459,0.000463459
2,85.2969,0.17099,1,1,0.02707,0.000893273,0.000893273,0.000893273
3,127.614,0.09253,1,1,0.00381,0.00127593,0.00127593,0.00127593
4,177.448,0.04912,1,1,0.03428,0.00121679,0.00121679,0.00121679
5,237.524,0.04235,0.98649,1,0.08341,0.00114606,0.00114606,0.00114606
6,295.867,0.08124,1,1,0.00093,0.00107532,0.00107532,0.00107532
7,346.059,0.04168,1,1,0.00049,0.00100459,0.00100459,0.00100459
8,402.529,0.04111,1,1,0.01063,0.000933851,0.000933851,0.000933851
9,460.884,0.03704,1,1,0.00314,0.000863116,0.000863116,0.000863116
10,505.644,0.03748,1,1,0.01514,0.00079238,0.00079238,0.00079238
11,543.514,0.03029,1,1,0.00058,0.000721645,0.000721645,0.000721645
12,580.571,0.01786,1,1,0.00054,0.000650909,0.000650909,0.000650909
13,619.642,0.01442,1,1,0.0001,0.000580174,0.000580174,0.000580174
14,665.239,0.01228,1,1,7e-05,0.000509438,0.000509438,0.000509438
15,706.12,0.01859,1,1,0.00033,0.000438703,0.000438703,0.000438703
16,747.194,0.00952,1,1,0.00012,0.000367967,0.000367967,0.000367967
17,787.977,0.02302,1,1,6e-05,0.000297232,0.000297232,0.000297232
18,828.434,0.01219,1,1,0.00026,0.000226497,0.000226497,0.000226497
19,868.92,0.00661,1,1,0.00011,0.000155761,0.000155761,0.000155761
20,909.656,0.01455,1,1,0.00012,8.50255e-05,8.50255e-05,8.50255e-05
